product_description,store,Sum_dollar_sales,Per_Female_21,Per_male_21,Per_age_21_below,Per_age_22_34,Per_age_35_44,per_age_45_54,per_age_55_64,Per_age_65_above,Per_income_low,Per_income_mid,Per_income_High,Per_asian_21_plus,Per_Hisp_21_plus,Per_AFAM_21_plus,Per_white_21_plus,store_zip_code,Total_Sales_in_the_TA,Product_dollar_sales,Cumm_Sales,Sales_contribution,target_variable
AJ BUTTERMILK PANCAKE MIX,89,287.34,0.517652335,0.482347665,0.308445587,0.176355902,0.150611485,0.134438143,0.115207373,0.113080468,8.08E-02,0.243176179,3.33E-02,1.40E-02,3.54E-02,9.62E-02,0.551799007,31326,287.34,95924.56,118426.85,1.234583197,0
AJ BUTTERMILK PANCAKE MIX,264,284.31,0.526648063,0.473351937,0.276982106,0.17150134,0.126484305,0.128535044,0.135150332,0.163959911,0.128998115,0.234412728,2.45E-02,4.33E-03,1.19E-02,4.67E-02,0.656997321,40004,284.31,95924.56,118711.16,1.237547089,0
AJ BUTTERMILK PANCAKE MIX,215,282.91,0.515316169,0.484683831,0.295679868,0.11144501,0.130862485,0.157933939,0.14958648,0.156649715,3.69E-02,0.21700827,0.111650485,3.52E-02,1.70E-02,1.52E-02,0.63998048,37922,282.91,95924.56,118994.07,1.240496386,0
AJ BUTTERMILK PANCAKE MIX,66,278.68,0.522434995,0.477565005,0.243502343,0.161660276,0.120934526,0.136308763,0.133255219,0.206611277,0.158393694,0.219535577,2.17E-02,1.03E-02,2.23E-02,1.52E-02,0.710161909,37801,278.68,95924.56,119272.75,1.243401586,0
AJ BUTTERMILK PANCAKE MIX,180,278.07,0.517098806,0.482901194,0.252332938,0.251870684,0.162540086,0.126079797,9.33E-02,0.116112443,7.47E-02,0.207147604,0.129864502,3.91E-02,0.124837489,1.00E-01,0.530003178,30342,278.07,95924.56,119550.82,1.246300426,0
AJ BUTTERMILK PANCAKE MIX,132,275.28,0.509343434,0.490656566,0.123845345,0.103158361,7.77E-02,0.105204934,0.198351679,0.414735328,0.184302229,0.270147685,4.35E-02,8.35E-03,4.44E-02,3.32E-02,0.797002047,29582,275.28,95924.56,119826.1,1.249170181,0
AJ BUTTERMILK PANCAKE MIX,363,268.58,0.532955778,0.467044222,0.238344347,0.15625,0.120594714,0.134728341,0.150330396,0.204432819,0.152303598,0.232057636,2.08E-02,6.38E-03,1.55E-02,1.55E-02,0.722283407,47250,268.58,95924.56,120094.68,1.25197009,0
AJ BUTTERMILK PANCAKE MIX,249,268.32,0.520917527,0.479082473,0.34846527,0.159689885,0.178852671,0.121461833,9.38E-02,9.76E-02,6.12E-02,0.246751347,4.22E-02,1.45E-02,3.44E-02,3.42E-02,0.57939391,37174,268.32,95924.56,120363,1.254767288,0
AJ BUTTERMILK PANCAKE MIX,12,267.65,0.523191212,0.476808788,0.341637754,0.123960206,0.138924884,0.159031058,0.111419972,0.119111315,5.09E-02,0.207561761,5.54E-02,0.032980813,6.20E-02,0.146887932,0.443339046,30019,267.65,95924.56,120630.65,1.257557501,0
AJ BUTTERMILK PANCAKE MIX,123,266.64,0.527053232,0.472946768,0.299975144,0.141163649,0.136766027,0.145905432,0.125561653,0.14969121,4.49E-02,0.225770062,9.36E-02,3.72E-02,3.36E-02,0.103229384,0.533259402,30809,266.64,95924.56,120897.29,1.260337186,0
AJ BUTTERMILK PANCAKE MIX,169,61.8,0.535922779,0.464077221,0.247897059,0.237985524,0.120677288,0.10250614,0.111417828,0.15625883,0.174277827,0.199860891,4.61E-02,2.48E-02,5.65E-02,0.176799183,0.507683613,30606,265.96,95924.56,121163.25,1.263109781,0
AJ BUTTERMILK PANCAKE MIX,183,118.37,0.535922779,0.464077221,0.247897059,0.237985524,0.120677288,0.10250614,0.111417828,0.15625883,0.174277827,0.199860891,4.61E-02,2.48E-02,5.65E-02,0.176799183,0.507683613,30606,265.96,95924.56,121429.21,1.265882377,0
AJ BUTTERMILK PANCAKE MIX,220,85.79,0.535922779,0.464077221,0.247897059,0.237985524,0.120677288,0.10250614,0.111417828,0.15625883,0.174277827,0.199860891,4.61E-02,2.48E-02,5.65E-02,0.176799183,0.507683613,30606,265.96,95924.56,121695.17,1.268654972,0
AJ BUTTERMILK PANCAKE MIX,152,260.98,0.536142429,0.463857571,0.27458136,0.167300774,0.115148692,0.125786164,0.129280224,0.187747496,0.173615964,0.175350053,1.50E-02,7.58E-03,2.99E-02,0.26396977,0.426585915,30223,260.98,95924.56,121956.15,1.271375652,0
AJ BUTTERMILK PANCAKE MIX,133,259.03,0.533704942,0.466295058,0.297986122,0.146814838,0.14485835,0.150466948,0.126389106,0.130458601,7.19E-02,0.250586946,4.56E-02,1.93E-02,1.68E-02,0.161736318,0.504095581,29063,259.03,95924.56,122215.18,1.274076003,0
AJ BUTTERMILK PANCAKE MIX,280,257.92,0.513616818,0.486383182,0.301327364,0.17878181,0.145067546,0.133698555,0.11141219,0.124391298,0.106621112,0.223649073,4.16E-02,9.39E-03,2.70E-02,3.87E-02,0.627513352,40324,257.92,95924.56,122473.1,1.276764783,0
AJ BUTTERMILK PANCAKE MIX,87,255.26,0.543002876,0.456997124,0.350336659,0.176225896,0.116332358,0.117777699,0.108753129,0.121197166,0.239256883,0.10371206,3.84E-03,3.70E-03,2.16E-02,0.49233264,0.133887968,31206,255.26,95924.56,122728.36,1.279425832,0
AJ BUTTERMILK PANCAKE MIX,47,253.25,0.516233485,0.483766515,0.274869494,0.167487788,0.127738527,0.158347135,0.14998218,0.120358917,8.31E-02,0.221493113,8.83E-02,4.35E-02,3.31E-02,0.113629217,0.537642299,35758,253.25,95924.56,122981.61,1.282065928,0
AJ BUTTERMILK PANCAKE MIX,318,249.69,0.582085929,0.417914071,0.230750078,0.164270153,0.115094927,0.122938064,0.153314659,0.218674136,0.125676937,0.208341114,2.10E-02,5.23E-03,1.45E-02,0.539993775,0.202552132,37218,249.69,95924.56,123231.3,1.284668911,0
AJ BUTTERMILK PANCAKE MIX,265,124.53,0.50999485,0.49000515,0.22909524,0.190118734,0.113537118,0.116388177,0.135371179,0.202172579,0.125482695,0.266664261,4.84E-02,3.81E-02,2.46E-02,2.08E-02,0.691796889,40503,249.06,95924.56,123480.36,1.287265326,0
AJ BUTTERMILK PANCAKE MIX,361,124.53,0.50999485,0.49000515,0.22909524,0.190118734,0.113537118,0.116388177,0.135371179,0.202172579,0.125482695,0.266664261,4.84E-02,3.81E-02,2.46E-02,2.08E-02,0.691796889,40503,249.06,95924.56,123729.42,1.289861741,0
AJ BUTTERMILK PANCAKE MIX,188,247.6,0.517936769,0.482063231,0.252237909,0.103634725,0.103905077,0.152988886,0.166686693,0.227936317,5.91E-02,0.190627816,0.136347251,5.78E-02,2.96E-02,4.93E-02,0.618774407,30068,247.6,95924.56,123977.02,1.292442936,0
AJ BUTTERMILK PANCAKE MIX,373,246.39,0.510992959,0.489007041,0.287987312,0.082011665,0.116954876,0.162283843,0.1636652,0.194157372,3.29E-02,0.153279443,0.177376445,4.72E-02,1.32E-02,3.55E-02,0.617926942,40059,246.39,95924.56,124223.41,1.295011517,0
AJ BUTTERMILK PANCAKE MIX,10,245.8,0.511711712,0.488288288,0.198483618,0.172533622,0.112871198,0.127267804,0.140445889,0.252233956,0.156873364,0.221816048,8.39E-02,1.04E-02,1.72E-02,6.36E-02,0.706877877,35801,245.8,95924.56,124469.21,1.297573948,0
AJ BUTTERMILK PANCAKE MIX,246,242.75,0.524502658,0.475497342,0.303328125,0.221703125,0.158171875,0.122859375,0.09346875,0.09646875,0.065578125,0.271046875,0.0408125,0.027734375,0.027390625,0.0889375,0.55540625,37128,242.75,95924.56,124711.96,1.300104582,0
AJ BUTTERMILK PANCAKE MIX,204,242.12,0.544422984,0.455577016,0.256807069,0.174853093,0.131969677,0.127797963,0.136769389,0.17099538,0.152334814,0.20912394,2.86E-02,1.52E-02,1.92E-02,0.242856502,0.46983358,31069,242.12,95924.56,124954.08,1.302628649,0
AJ BUTTERMILK PANCAKE MIX,356,241.18,0.513119338,0.486880662,0.289460718,0.20528633,0.118982151,0.117551695,0.109811339,0.140629719,0.157079962,0.20163072,2.88E-02,8.81E-03,1.50E-02,3.57E-02,0.647281339,40475,241.18,95924.56,125195.26,1.305142916,0
AJ BUTTERMILK PANCAKE MIX,30,239.97,0.556552419,0.443447581,0.287663363,0.15388482,0.10591699,0.117693523,0.13083441,0.204222318,0.218512136,0.189501652,1.36E-02,7.90E-03,1.72E-02,0.285796352,0.39638087,31501,239.97,95924.56,125435.23,1.30764457,0
AJ BUTTERMILK PANCAKE MIX,51,231.97,0.532662508,0.467337492,0.26881309,0.170987963,0.125636422,0.123370317,0.130433503,0.180729274,0.155919833,0.22825863,2.90E-02,6.86E-03,4.52E-02,0.160363754,0.523264369,29841,231.97,95924.56,125667.2,1.310062824,0
AJ BUTTERMILK PANCAKE MIX,243,231.84,0.515115517,0.484884483,0.267390913,0.154552548,0.126943161,0.12976412,0.13126463,0.190984935,0.211691975,0.173639037,1.36E-02,4.83E-03,5.18E-02,2.50E-02,0.655092732,37110,231.84,95924.56,125899.04,1.312479724,0
AJ BUTTERMILK PANCAKE MIX,34,231.61,0.529375459,0.470624541,0.235616561,0.26628176,0.122391212,0.103879765,0.11163031,0.15918945,0.198750927,0.206007234,3.21E-02,2.21E-02,4.46E-02,0.338934693,0.366746793,30909,231.61,95924.56,126130.65,1.314894225,0
